nom,french_attribut,CO2,main_type,sous_type
Céréales complètes soufflées,enrichies en vitamines et minéraux,3.56,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Céréales pour petit déjeuner chocolatées,non fourrées,3.4,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Céréales pour petit déjeuner fourrées,fourrage autre que chocolat,3.4,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes,enrichies en vitamines et minéraux,3.4,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Céréales pour petit déjeuner riches en fibres,au chocolat,3.4,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Céréales pour petit déjeuner riches en fibres,avec ou sans fruits,3.56,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Céréales pour petit déjeuner très riches en fibres,enrichies en vitamines et minéraux,3.56,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Céréales pour petit déjeuner équilibre au chocolat,enrichies en vitamines et minéraux,3.4,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Céréales pour petit déjeuner équilibre aux fruits,enrichies en vitamines et minéraux,3.56,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Céréales pour petit déjeuner équilibre aux fruits secs (à coque),enrichis en vitamines et minéraux,3.56,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Céréales pour petit déjeuner équilibre nature ou au miel,enrichies en vitamines et minéraux,3.56,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Cône ou cornet classique,pour glace,2.88,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Datte,pulpe et peau,2.76,Fruits et Légumes,Fruits
Denté,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Dessert au soja,nature,0.82,Produits Laitiers,Produits laitiers frais et assimilés
Dessert au soja,aux fruits,0.86,Produits Laitiers,Produits laitiers frais et assimilés
Dessert au soja aromatisé,rayon frais,0.86,Produits Laitiers,Produits laitiers frais et assimilés
Dessert de fruits,tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes,0.95,Fruits et Légumes,Fruits
Dinde,viande-viande et peau,5.52,"Viandes, oeufs, poissons",
Dinde,escalope viennoise ou milanaise ou escalope panée,6.27,"Viandes, oeufs, poissons",Autres produits à base de viande
Dinde,escalope,6.82,"Viandes, oeufs, poissons",Viandes crues
Dinde,cuisse,6.97,"Viandes, oeufs, poissons",Viandes crues
Dinde,aile,6.98,"Viandes, oeufs, poissons",Viandes crues
Diot,cru,5.09,"Viandes, oeufs, poissons",Charcuteries
Dorade grise,ou daurade grise,7.46,"Viandes, oeufs, poissons",Poissons crus
Dorade rose,ou daurade rose,6.73,"Viandes, oeufs, poissons",Poissons crus
Dorade royale,ou daurade ou vraie daurade,9.04,"Viandes, oeufs, poissons",Poissons crus
Dorade royale ou daurade ou vraie daurade,cru,12.7,"Viandes, oeufs, poissons",Poissons crus
Double cheeseburger,provenant de fast food,13.1,Plats composés,Sandwichs
Dulse (Palmaria palmata),séché ou déshydratée,6.58,Aides culinaires et ingrédients divers,Algues
Dés,allumettes,6.96,"Viandes, oeufs, poissons",Charcuteries
Eau de source Cristaline,embouteillée,0.27,Boissons,Eaux
Eau de vie de vin,type armagnac,1.12,Boissons,Boissons alcoolisées
Eau minérale,embouteillée,0.27,Boissons,Eaux
Empereur,filet,10.8,"Viandes, oeufs, poissons",Poissons crus
Endive,cru,0.93,Fruits et Légumes,Légumes
Espadon,cru,4.25,"Viandes, oeufs, poissons",Poissons crus
