id,status,french_name,english_name,french_attribut,english_attribut,type,french_tag,english_tag,unit,validity_range,comment,CO2,main_type,sous_type
41689,Valide générique,Lotte ou baudroie,Anglerfish,grillée/poêlée,grilled," Viandes, oeufs, poissons > Poissons cuits","Agribalyse,Lotte ou baudroie,poissons cuits","Agribalyse,Anglerfish,poissons cuits",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PP - Préparation : Four,13.2,"Viandes, oeufs, poissons",Poissons cuits
41690,Valide générique,Loup tacheté,Spotted wolffish,cru,," Viandes, oeufs, poissons > Poissons crus","Agribalyse,Loup tacheté,poissons crus","Agribalyse,Spotted wolffish,poissons crus",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,10.8,"Viandes, oeufs, poissons",Poissons crus
40457,Valide générique,Lupin,lupin grain,graine crue,raw," Fruits, légumes, légumineuses et oléagineux > Légumineuses","Agribalyse,légumineuses,Lupin","Agribalyse,lupin grain,légumineuses",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,1.17,"Fruits, légumes, légumineuses et oléagineux",Légumineuses
40458,Valide générique,Luzerne,Alphalfa seeds,graine,raw," Fruits, légumes, légumineuses et oléagineux > Fruits à coque et graines oléagineuses","Agribalyse,Luzerne,fruits à coque et graines oléagineuses","Agribalyse,fruits à coque et graines oléagineuses,Alphalfa seeds",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,3.52,"Fruits, légumes, légumineuses et oléagineux",Fruits à coque et graines oléagineuses
40459,Valide générique,Luzerne,Alfalfa seeds,graine germée,sprouted," Fruits, légumes, légumineuses et oléagineux > Fruits à coque et graines oléagineuses","Agribalyse,Luzerne,fruits à coque et graines oléagineuses","Agribalyse,fruits à coque et graines oléagineuses,Alfalfa seeds",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,3.52,"Fruits, légumes, légumineuses et oléagineux",Fruits à coque et graines oléagineuses
41175,Valide générique,Macaron moelleux fourré à la confiture ou à la crème,Macaron filled with jam or cream,,, Produits céréaliers > Gâteaux et pâtisseries,"Agribalyse,Macaron moelleux fourré à la confiture ou à la crème,gâteaux et pâtisseries","Agribalyse,Macaron filled with jam or cream,gâteaux et pâtisseries",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : PS - Préparation : Pas de préparation,5.75,Produits céréaliers,Gâteaux et pâtisseries
41176,Valide générique,Macaron sec,Macaroon,,, Produits céréaliers > Céréales de petit-déjeuner et biscuits,"Agribalyse,Macaron sec,céréales de petit-déjeuner et biscuits","Agribalyse,Macaroon,céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,1.81,Produits céréaliers,Céréales de petit-déjeuner et biscuits
40460,Valide générique,Macédoine de légumes,Diced mixed vegetables,appertisée,canned," Fruits, légumes, légumineuses et oléagineux > Légumes","Agribalyse,légumes,Macédoine de légumes","Agribalyse,légumes,Diced mixed vegetables",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation,0.914,"Fruits, légumes, légumineuses et oléagineux",Légumes
40461,Valide générique,Macédoine de légumes,Mixed diced vegetables,surgelée,frozen," Fruits, légumes, légumineuses et oléagineux > Légumes","Agribalyse,légumes,Macédoine de légumes","Agribalyse,légumes,Mixed diced vegetables",kgCO2e/kg de poids net,24/02/2026,Livraison : Congelé - Matériau d'emballage : PP - Préparation : Micro-onde,0.778,"Fruits, légumes, légumineuses et oléagineux",Légumes
40464,Valide générique,Macédoine ou cocktail ou salade de fruits,Fruit cocktail or salad,au sirop,canned in syrup," Fruits, légumes, légumineuses et oléagineux > Fruits","Agribalyse,fruits,Macédoine ou cocktail ou salade de fruits","Agribalyse,fruits,Fruit cocktail or salad",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation,1.16,"Fruits, légumes, légumineuses et oléagineux",Fruits
40465,Valide générique,Macédoine ou cocktail ou salade de fruits,Fruit cocktail or salad,au sirop,canned in syrup," Fruits, légumes, légumineuses et oléagineux > Fruits","Agribalyse,fruits,Macédoine ou cocktail ou salade de fruits","Agribalyse,fruits,Fruit cocktail or salad",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation,0.632,"Fruits, légumes, légumineuses et oléagineux",Fruits
40462,Valide générique,Macédoine ou cocktail ou salade de fruits,Fruit cocktail or salad,au sirop léger,canned in light syrup," Fruits, légumes, légumineuses et oléagineux > Fruits","Agribalyse,fruits,Macédoine ou cocktail ou salade de fruits","Agribalyse,fruits,Fruit cocktail or salad",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation,1.04,"Fruits, légumes, légumineuses et oléagineux",Fruits
40463,Valide générique,Macédoine ou cocktail ou salade de fruits,Fruit cocktail or salad,au sirop léger,canned in light syrup," Fruits, légumes, légumineuses et oléagineux > Fruits","Agribalyse,fruits,Macédoine ou cocktail ou salade de fruits","Agribalyse,fruits,Fruit cocktail or salad",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation,0.632,"Fruits, légumes, légumineuses et oléagineux",Fruits
